"date","close","volume","open","high","low"

"2016/04/29","20.5900","137904.0000","20.5900","20.6700","19.7300"
"2016/04/28","20.6700","210377.0000","20.5200","21.0300","20.5100"
"2016/04/27","20.4600","88539.0000","20.0700","20.5100","19.9300"
"2016/04/26","20.1800","111728.0000","19.9300","20.3100","19.8900"
"2016/04/25","19.9600","77923.0000","20.9000","20.9000","19.8200"
"2016/04/22","20.6300","121265.0000","20.1900","20.9500","20.1900"
"2016/04/21","20.1100","92220.0000","20.6800","20.9400","20.0700"
"2016/04/20","20.5600","201175.0000","19.5200","20.9000","19.4500"
"2016/04/19","19.5500","101849.0000","19.3500","19.6900","18.9900"
"2016/04/18","19.0200","134194.0000","19.0800","19.3700","18.8300"
"2016/04/15","19.3000","131688.0000","19.8900","19.8900","19.1300"
"2016/04/14","19.8700","220254.0000","19.1500","20.0100","18.8500"
"2016/04/13","19.5300","208167.0000","18.5000","19.7700","18.5000"
"2016/04/12","18.4400","146809.0000","18.2500","18.6420","17.6950"
"2016/04/11","18.2500","135463.0000","18.7200","18.7200","17.8700"
"2016/04/08","18.6900","302626.0000","19.1100","19.3700","18.5000"
"2016/04/07","19.0200","244085.0000","18.4100","19.5200","18.4100"
"2016/04/06","18.5700","293095.0000","18.9500","19.0400","17.8100"
"2016/04/05","18.4700","282488.0000","19.9200","20.2700","18.0100"
"2016/04/04","20.1100","202669.0000","20.9700","20.9700","19.6400"
"2016/04/01","20.3700","348467.0000","19.6600","20.4600","19.2810"
"2016/03/31","19.7900","428204.0000","19.6800","20.4400","19.4807"
"2016/03/30","19.6100","353976.0000","18.6200","19.7200","18.4100"
"2016/03/29","18.3900","193541.0000","18.2900","18.6350","17.9500"
"2016/03/28","18.4300","311638.0000","18.6600","19.0150","18.2200"
"2016/03/24","18.3800","124236.0000","18.1800","18.4800","17.9900"
"2016/03/23","18.2100","231154.0000","19.2000","19.2400","18.0800"
"2016/03/22","19.1700","253739.0000","20.0000","20.1699","19.0300"
"2016/03/21","20.2500","307640.0000","19.9200","20.3200","19.0900"
"2016/03/18","19.8800","2035885.0000","18.0300","21.6900","17.7600"
"2016/03/17","17.9000","225143.0000","17.0400","18.2200","16.7250"
"2016/03/16","16.9900","82331.0000","17.0200","17.5000","16.8200"
"2016/03/15","17.0400","163311.0000","17.8100","17.8201","16.5791"
"2016/03/14","18.0100","140212.0000","18.0000","18.3000","17.6200"
